,age,prev_year_min_avg,career_min_avg,prev_year_competition_Currie Cup,prev_year_competition_England Championship,prev_year_competition_England Premiership,prev_year_competition_NPC,prev_year_competition_National Rugby Championship,prev_year_competition_Pro D2,prev_year_competition_Super Rugby,prev_year_competition_Top 14,prev_year_competition_United Rugby Championship,competition_Currie Cup,competition_England Championship,competition_England Premiership,competition_NPC,competition_National Rugby Championship,competition_Pro D2,competition_Super Rugby,competition_Top 14,competition_United Rugby Championship,pred
18,0.4230769230769231,0.4556818181818182,0.395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
19,0.40384615384615385,0.5571428571428572,0.32083333333333336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20,0.38461538461538464,0.16071428571428573,0.17045454545454547,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
25,0.6346153846153846,0.8945000000000001,0.8955769230769232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0.5961538461538461,0.925,0.892650462962963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,0.5769230769230769,0.9765625,0.8905788177339902,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,0.5384615384615384,0.798611111111111,0.879509493670886,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
33,0.5192307692307693,0.9273148148148149,0.8843959731543624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53,0.5384615384615384,0.37884615384615383,0.5277027027027027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
61,0.46153846153846156,0.49482758620689654,0.5850574712643678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
82,0.40384615384615385,0.9828125,0.9828125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,0.4230769230769231,0.88125,0.8330882352941176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
105,0.4423076923076923,0.31666666666666665,0.7022058823529412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
108,0.40384615384615385,0.1375,0.5953125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
109,0.40384615384615385,0.1375,0.5953125,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
155,0.4423076923076923,0.41583333333333333,0.3981707317073171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
159,0.40384615384615385,0.04375,0.04375,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
194,0.46153846153846156,0.614,0.5925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
226,0.5384615384615384,0.984375,0.7731182795698925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
230,0.5,0.6,0.6737068965517241,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
231,0.4807692307692308,0.6330357142857144,0.6838235294117647,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
242,0.4807692307692308,0.68828125,0.6913851351351352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
289,0.5384615384615384,0.915,0.8928308823529412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
290,0.5192307692307693,1.0,0.8799418604651162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
292,0.5,0.7755434782608696,0.7755434782608696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
307,0.38461538461538464,0.6858333333333333,0.6725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
327,0.4423076923076923,0.7112499999999999,0.6059931506849315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
342,0.38461538461538464,0.5733333333333334,0.46630434782608693,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
345,0.5192307692307693,0.7147321428571429,0.609963768115942,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
372,0.4807692307692308,0.7607142857142857,0.744672131147541,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
374,0.4423076923076923,0.7484375,0.739423076923077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
379,0.46153846153846156,0.9044354838709678,0.8548913043478261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
380,0.4423076923076923,0.94375,0.7525000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
384,0.40384615384615385,0.5395833333333333,0.5395833333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
411,0.38461538461538464,0.719078947368421,0.6385416666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
412,0.36538461538461536,0.3325,0.3325,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
448,0.4230769230769231,0.593452380952381,0.5226351351351352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
507,0.4423076923076923,0.8142857142857143,0.7341101694915254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
575,0.46153846153846156,0.778125,0.7683035714285714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
623,0.40384615384615385,0.3375,0.2625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
639,0.40384615384615385,0.4967391304347826,0.4446428571428571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
640,0.38461538461538464,0.30625,0.205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
641,0.36538461538461536,0.1375,0.1375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
692,0.4423076923076923,0.7725,0.81484375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
702,0.4807692307692308,0.5230769230769231,0.4802816901408451,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
704,0.4423076923076923,0.4883333333333334,0.47578125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
706,0.4230769230769231,0.2875,0.2875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
713,0.4423076923076923,0.5619047619047619,0.5386363636363637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
714,0.4230769230769231,0.66171875,0.5299107142857143,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
717,0.38461538461538464,0.5193181818181818,0.47850000000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
742,0.4807692307692308,0.13125,0.13125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
757,0.5576923076923077,0.5857142857142856,0.6582291666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
760,0.5384615384615384,0.8125,0.662721238938053,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
779,0.38461538461538464,0.42000000000000004,0.42000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
796,0.46153846153846156,0.9359375,0.9359375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
805,0.5576923076923077,0.788,0.7228448275862069,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
806,0.5384615384615384,0.9692708333333334,0.7092708333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
808,0.5,0.6883333333333334,0.6142857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
810,0.5,0.6883333333333334,0.6142857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
822,0.4230769230769231,0.9402777777777779,0.9402777777777779,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
856,0.38461538461538464,0.8125,0.6534090909090909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
